,text,No_of_tags,Tag,Month,No_of_ans,vote_ans,qual_ans,has_accepted_ans,has_code_col,question_text_len,user_reputation,No_of_votes,quality,predicted_classlabel
1113, i'm working on an assignment for a computer science iii class (java programming)  and in it we have to encode a file based on huffman coding.          i was working on it in my netbeans ide and followed some suggestions. it changed the last two for loops to:         i am really  really  really intrigued by this  but i find it difficult to trace everything. it obviously operates in the same way as my for loops and after testing i see that it -does- work  but i want to understand why and how. can anybody give me any insight?  ,5,for-loop,10,4,2 0 0 0,75 69 0 0,1,1,531,8,0,0,0
1114, when going through a collection using a using a for loop using (element:collection) the changes i've made to data only remains the same during the loop.    here is my code:         output:         my question is using this type of loop how do i make permanent changes?  ,2,for-loop,10,3,3 0 0,100 89 0,1,1,271,13,2,0,0
1115, i have the class memory which is a list of blocks  and blocks which is a list of tuples and tuple.         the above code works fine  every single tuple goes through it but the problem is even after the last tuple  it continues on leading to a  null pointer exception . i can't modify the memory class  blocks nor tuples so how do i avoid the error?  ,3,for-loop,10,3,1 1 0,89 0 75,1,1,352,1,0,0,0
1116, here is my question. whats the use of   in the following code and why if i comment    though j = 0 why its not going inside case(0). output of answer without   line is 0. why not 1.       ,3,for-loop,10,5,2 1 1 0 0,89 0 0 40 0,1,1,189,531,0,90,1
1117, i'm trying to change the nested for-loop into a nested while-loop. i've tried a few different ways but each time i try i cannot get the expected result which is:t = 1 t = 1 t = 2 t = 4 t = 5 t = 11 r = 30                  ,3,for-loop,10,4,4 1 1 0,60 86 0 100,0,1,223,1,0,0,0
1118, my program is running great  but the only problem is the factorial of the number 2 is 2 not 1. it's giving 2's value to 3 and so on. therefore  the output is a line ahead  the factorial of 20 is 2 432 902 008 176 640 000.    p.s this is not 'homework' its just programming as a hobby.         output:         help me please :)   ,2,for-loop,10,2,4 3,100 100,1,1,330,25,0,40,0
1119, you have an input of   and that represents half the rows that the diamond will have. i was able to make the first half of the diamond but i'm extremely frustrated with the second half. i just can't seem to get it. i'm not here to ask for specific code i need  but can you point me in the right direction and give me some tips/tricks on how to write this? also  if i'm going about this program the wrong way  feel free to tell me and tell me on how i should approach the program.      the diamonds at the bottom represent an  input of 5 .  n-1  represents the spaces to the left of each asterisk. thank you for your help!    edit: i don't know why people have down voted my post. i'm in my first college programming course and i'm just learning and literally spent 2 hours trying to figure out how to do the second half.  thank you  to all the lovely people who answered my question. i'm going to rewrite my code differently and try to do the reverse trick for the second half because i have to turn this in for my programming course and if i copy your code  i will get caught for plagiarism. thank you so much!            ,3,for-loop,10,4,1 1 1 1,0 86 88 0,1,1,1123,44,0,86,1
1120, i just try to understand why these two loops are not doing the same.         or in other words  why does the second not increment?  ,4,for-loop,10,3,0 0 0,80 0 80,0,1,133,3,0,20,0
1121, i'm reading a java book and i came across an interesting for loop. it looks like this:         i understand that   is the condition check and   is the increment. however  i don't get where's the initialization statement.  ,2,for-loop,10,3,2 1 0,75 0 46,0,1,223,29,0,22,0
1122, i am doing a java assignment for next saturday.    its going really well  however i'm struggling with one section.    here i want to reveal a set of numbers in a string  one at a time. i tried slowing down the loop with 'thread.sleep(1000);'    however nothing is displaying until the thread is finished    the following is a section of the graphics class where the problem is occuring is there something i'm missing?       ,2,for-loop,10,2,2 0,100 100,0,1,425,6,1,0,0
1123, is it possible to have 2 enhanced for loops running at the same time as below?         any input will be helpful.    thanks !!!  ,3,for-loop,10,6,6 1 1 0 0 0,75 90 75 67 53 56,1,1,130,21,1,0,0
1124, i wrote these nested for loops to display 1 on one line  and 31 on the next  and so on until it get to  . can someone show me how to reverse it  so that   prints on the first line then    and so forth. basically just flipping the entire output.       ,3,for-loop,10,2,3 1,50 9,1,1,252,18,0,83,1
1125, in java programming:  i have something along the lines of         will this work well enough? or will the for loop keep running. thanks!  ,3,for-loop,10,4,3 1 0 0,100 0 73 0,0,1,139,1,0,0,0
1126, very rudimentary question but i have a loop e.g.         how would you get the next element/previous? i know there are iterators i can use and so on but i want to know a neat way to do it in a for loop.  ,2,for-loop,10,6,2 0 0 0 0 0,74 0 0 80 70 0,1,1,205,562,0,66,1
1127, really having issues with this program i'm making. i've searched this site and a few others  although have yet to find a solution. it may look like i'm just soliciting help but i truly am stuck. i am to make a program that reads in 5 numbers from the user and average those numbers. my extent of knowledge of java is the scanner class and for loops  yet haven't used while loops yet. here is the very poorly written code:         i honestly have no clue what to do. more or less self taught.  ,3,for-loop,10,5,2 0 0 0 -1,89 70 0 79 0,1,1,494,12,0,80,1
1128, how to automate creating objects in a loop? why doesn't this code work?       ,3,for-loop,10,2,3 2,76 60,0,1,79,1,0,0,0
1129, i'm trying to create a program that reads a list of 10 integers and asks the user whether they'd like to know if the integers entered are even/odd  prime  or their sign. i don't see where the mistake is:         }    case 1 and case 3 work just fine  case 2 is where the strange output occurs; any help will be greatly appreciated  ,3,for-loop,9,3,2 0 0,86 71 0,1,1,333,8,1,0,0
1130," i've recently run into a issue with for loops. my method looks like this:         this however returns a syntax error telling me to add a modifier \""++\"" to the initializing value of the for loop. however i don't want that. is there anyway to avoid doing that?  ",2,for-loop,9,4,3 2 1 0,0 56 0 100,1,1,263,1,0,0,0
1131," i am printing a grid that increments down each column and i need the last column not to have any commas. i am familiar with the classic fence post problem  and i know how to solve it with a basic loop. but i am lost when it comes to nested loops. any ideas? thanks    i have tried adding commas to the front instead of the back and planting a \""post\"" before the loop starts  but it never works out.    here's my code:         here is the output:       ",2,for-loop,9,4,1 0 0 0,100 82 92 0,1,1,454,8,0,0,0
1132, so i have to make a class called mylistofstrings that is exactly what it sounds like  an array of strings. one of the methods i have to write is a retain all method  which retains only the strings in the list that are equal to the string entered as a parameter. the for loop seems to skip half of the things it is supposed to remove  any ideas why? the size method just returns how many elements are in the list and is to simple to post.         here's the get method:         and the remove method:       ,2,for-loop,9,5,3 1 0 0 0,77 0 82 0 0,0,1,507,6,1,0,0
1133, i have to increment the inner loop based on the outer loop  but my logic is failing. please can anyone help on this?         please suggest to me how i can implement this.  ,2,for-loop,9,2,6 2,51 44,1,1,174,3079,1,72,1
1134, i have some problem printing a  reverse triangle  i want to achieve  like this pattern:         but my goal is to achieve that pattern with this  numbers :         so  this is my code so far:         which the output is  upright  like this:         i want to make the pattern  reverse  with the numbers as it shown above.    can anyone give me some idea how to deal with it? thanks!  ,3,for-loop,9,4,1 0 0 0,100 82 55 75,1,1,385,8,0,0,0
1135, first time poster here. i'm aware of the negative stigma carried with asking for help on homework assignments  however i believe this would be an exception as this is an intro course and the professor stated specifically to use google to find examples of for loops in java (of which we have yet to even cover in class). i have absolutely no java experience and would really appreciate any feedback:    program asks user how many grades there are.    program asks user for each grade (for loop needed and should sum grades within loop).    take sum of all grades  compute average and store in a float variable grade.    print grade value to console and append a number to a string such as      example should read as:         my code so far (not much here):         edit:         this is what i have now  however a test displays incorrect results (example):         each grade needs to be entered on separate lines so the averaging is skewed as a result.  ,3,for-loop,9,5,0 0 0 0 0,57 0 0 78 31,1,1,956,3,0,0,0
1136, this is my first question on this site so i'm not sure how to do this  but my question is as follows: this is just a small piece of a code with multiple methods. i need to print the ascii codes of all the characters in a string (input from the user). now i am trying to use a for-loop which scans the first character prints the ascii code of it  then scans the next one etc. but at the moment its just printing the first character's ascii code a few times. obviously there's something wrong with my for-loop but i've been trying to figure it out and i really can't find it.       ,4,for-loop,9,2,5 0,78 46,1,1,581,5,0,0,0
1137,      i am having a problem with the setup of my for loop and cannot figure it out... it runs perfectly fine when i remove the for loop.    as you can see i tried declaring the i previously but it made no difference.  ,3,for-loop,9,6,10 3 2 2 1 0,80 0 0 0 66 81,0,1,218,9,1,0,0
1138, i am trying to display a diamond of asterisks using nested for loops.    here is my code so far:         this is close but i'm printing the line of 9 asterisks twice.    how can i adjust the second for loop to start the output at 7 asterisks and 2 spaces??    thanks for the help!  ,3,for-loop,9,4,1 0 0 0,46 0 57 86,1,1,283,62,0,88,1
1139, i know with java one shouldn't bother with things like this but i just can't resist  which is the faster?:         the enhanced for loop does an empty check before it starts to do anything right? so using an enclosing if(empty) is totally useless?  ,2,for-loop,9,2,4 3,85 98,1,1,250,36,2,82,1
1140, so i'm trying to find the min  max  and average number of the numbers input. everything works fine  although i do not want input less than 0 or greater than 100. when i input a number less than 0 or greater than 100 it still records it as the min/max. i do not want this! how would i not take input that is less than 0 or greater than 100? thanks!       ,4,for-loop,8,3,0 0 0,43 90 0,1,1,355,14,0,43,0
1141," i'm trying to write a simple program that will take input using a scanner and output the lowest number  the highest number  and the average of them all. but i do not want numbers below 0 or greater than 100. i've got the program to output the min  max  and average  and it will tell me if i have entered a number less than 0 or greater than 100  but it still counts it as a \""rotation\"" in the for loop. i basically want the program to return to the previous number instead of continuing forward in the for loop when the wrong number is entered. any suggestions? thanks!       ",2,for-loop,8,4,1 0 0 0,80 100 100 0,0,1,578,14,0,43,0
1142,              the upper loop completes much before than second loop. can someone explain in detail to why  ,2,for-loop,8,5,7 4 3 2 0,40 91 0 0 86,0,1,107,44,0,0,0
1143, i was writing a   loop program when this code came across my mind.         the program works fine and the output is also correct. but then i tried the following code:         to my amazement  all of them produce the same output  1 3 5 7 9. now my question is  how exactly do   loops work and why did all the code produce the same output when i used pre-increment and post-increment in the same   loop?  ,4,for-loop,8,3,5 0 0,92 56 68,1,1,404,16,0,0,0
1144, this question is not a problem that needs to be solved  rather an aspect of my code that i'd like some help with understanding.     i first draw a line in the middle of the screen to make it easier to explain what i don't understand.     the user can enter how many pixels are between each line.    explanation of the loop: it draws a line from the middle of the left side y-axis to the bottom right hand corner and then repeats that action increasing the starty integer by userinput and decreasing the endy integer by the same amount until the bottom of the frame has been reached.         this is the effect:  http://i.imgur.com/tupvi10.png     now when i switch these lines of code:         to         this is the effect:  http://i.imgur.com/zm1ubfn.png     as you can see it draws an extra line on the right side so that means the loop is executed an extra time right? i don't understand why. shouldn't both versions of the loop stop at the same time (when the bottom of the frame is reached)?     so why does the loop execute an extra time when i switch up these statements?    i'm quite confused and i'm having trouble wrapping my head around this logic.  ,3,for-loop,8,2,3 2,57 100,1,1,1163,27,2,75,1
1145, edit: sorry about not being clear where the extra new line happens    i have a for loop that reads from different arrays in order to make a long string to display. the format of the string should be like this         however when the string is produced it starts off fine but it gets to have an extra space as shown in the pattern below         ...    this is the code i have to produce this:         and i am wondering if anyone has any suggestions for what would cause this behavior  ,2,for-loop,8,4,1 0 0 0,69 100 0 0,0,1,487,327,0,43,0
1146, if i have a stream of objects  can i turn it into a collection of another object? so if i have a collection of strings can i turn it into a collection of persons? something like:            ,5,for-loop,8,2,9 4,82 75,1,1,191,437,2,96,1
1147," i am trying to create a method which return a int value(in my case locationy is the value which i wanted to return) which i am getting from a variable which is declared and initialized inside a for loop in thge same method. i tried two ways to do so. in my 1st try code i got error which says \"" locationy cannot be resolved to a variable \"". then in my 2nd try i tried to return the locationy from inside the for loop. but again got an error which says that \"" this method must return a result of type int \"". can anyone please tell me how can i use the varable present inside a for loop to the same method.     1st try -         2nd try -        ",4,for-loop,8,4,2 1 1 1,0 0 60 74,1,1,649,337,0,64,1
1148, i'm taking a beginners java course over the summer. i need to make a pyramid using loops for homework. the pyramid has to be made out of asterisks; in addition  size of pyramid is determined by user.    this is what i have for code now;         the problem of my code is that the number of asterisks in each row is wrong by one.  ,2,for-loop,7,4,1 0 0 0,86 0 100 0,0,1,331,11,0,0,0
1149, in the code below i was wondering if an exception was thrown in the for loop and the error message was added to the json object in the catch block  will the program return to the next iteration of the for loop after the exception was thrown? or will it break the for loop and return the object?       ,3,for-loop,7,3,2 0 0,100 65 0,1,1,302,20,0,33,0
1150," i am trying to understand how \""continue\"" works. i understood the concept of the keyword but when i run different programs  it works differently :-/ let me show you few examples:    if i run this program :          the value of i is gonna be 3. so far so good. let's add an outer loop :         the value of i is gonna be ... 0 !!  i don't understand why i is not incremented if continue is used with a label that goes to the outer loop. can somebody explain it why ?  do you have some tricky things like that with break ? or with a do {} while ?     i really appreciate any help you can provide.  ",5,for-loop,7,9,27 14 7 6 4 3 3 2 0,100 0 89 0 80 0 86 0 0,1,1,600,151,29,0,0
1151, given this situation where a lambda is inside a for loop i would expect the counter i to be effectively final.    the compiler complains that i is not effectively final so i had to use i2.         so the question is why i is not effectively final inside the scope of the for loop and is this the simplest workaround.  ,4,for-loop,7,4,5 1 0 0,75 100 0 99,0,1,319,1816,3,86,1
1152, i read on  http://www.leepoint.net/notes-java/flow/loops/foreach.html . the for each equivalent to          is           my question is how does a for each loop work for an empty list. i know for the regular for loop  the arr.length will just evaluate to 0 and the loop wont execute. what about for the for each loop?  ,3,for-loop,7,3,3 2 1,0 79 89,1,1,320,1240,4,96,1
1153, my code is:         and i get the following warning:        'for' loop replaceable with 'foreach'      how should i modify the loop using foreach?    thanks.  ,4,for-loop,7,4,7 1 1 0,89 88 81 62,1,1,160,308,0,60,1
1154, here is the structure of my program:         i know i have to use   and   statement but don't understand exactly how? please tell me how to achieve this mechanism?  ,2,for-loop,7,7,1 0 0 0 0 0 0,77 0 100 58 0 0 0,0,1,166,450,0,58,1
1155, my task was to write a method that should combine letters which occur more then two times in a row. example: abbcccdddd -> abbc3d4    i was told to us the library's in.java and out.java for in and output. my problem is that the method skips the for-loop. i hope you can help me. if you have any questions about the code just ask me please       ,2,for-loop,6,6,2 1 1 1 1 1,76 0 73 0 55 0,1,1,346,28,4,0,0
1156, code 1 : i have declared   outside the first while loop:         }    result :         code 2 : here i declared   inside of the first while loop:         }    result :          as you can see  i have different results  when i declare   inside the first while'loop and outside that loop. can anyone explain why that happens ? thanks already!  ,3,for-loop,6,4,1 1 1 0,100 57 71 0,1,1,343,5,0,0,0
1157, just two questions in regards to this code.       how do i iterate through the array and actually change the values in the array.   why does the foreach keep giving me an out of bounds exception. it works fine for the usual for loop (int i = 0; i &lt; anarray.length; i++)  but i havn't used this foreach before?           ,2,for-loop,6,3,5 2 1,85 0 100,1,1,324,472,0,65,1
1158," the following code throws a   at runtime  and the line   generates a warning \""found 'java.lang.string'  required 't'\"". i understand the   (the interface method is called with   equal to   yet   returns a  ) and i understand the warning (it's trying to warn us about exactly this problem). but what i don't understand is why the program compiles at all. why is a method returning a   allowed to override a method returning a  ?       ",4,generics,12,4,4 2 2 0,89 21 83 0,1,1,436,2613,4,71,1
1159," when i compile the following java code (using oracle jdk 1.7.0_25):         i get a warning:         i can't understand why it says \""return type requires unchecked conversion\"" as the class implements   so as far as i can see it's a valid return type.    can anyone explain to me what's wrong?  ",3,generics,12,2,3 2,71 81,1,1,297,3934,3,89,1
1160, perhaps i'm missing the point but coming from a c# background  i can't see any reason to use java's generics...    in c# i've got a method which takes a string and deserializes it into an object...         which i can call as follows:      type erasure seems to make this impossible in java?    my next most common usage of generics is storing things lists but since i can't do   and have to box to use    it seems like pointless overhead boxing/unboxing when i could just use  .    so... is the only real use for generics to do things like         and get some type compile-time type checking? if so  it seems pretty redundant given that the variable name makes it clear what the type should be (at least as long as i'm using sensible naming conventions).    i can't help but feel i'm missing something...  ,2,generics,12,5,7 2 1 1 1,66 0 44 90 71,1,1,809,13399,0,91,1
1161, i just studied about generic programming  the   interface  and    so i can understand the statement below.         but i don't understand the next statement which i saw while surfing the web.           what is  ? why isn't it   or  ?   why is   placed before the method name  ?      (isn't   correct for generic?)      what does the statement mean?    ,3,generics,12,5,53 11 9 6 5,0 99 98 96 52,1,1,353,343,64,0,0
1162,      the   in   is used to store several kinds of  enumset  with different  enum type . while implementing relative methods  i meet some problems: when i try to call the method like this:         here comes the error:        the method   in the type   is not applicable for the arguments        how to deal with this problem? i think it may come from  raw type  or  type erasure   but i do not know the main reason. thanks.  ,5,generics,12,2,1 0,82 71,1,1,426,42,0,38,0
1163, i'm calling an api to get the an input stream and then call static method parsefrom(inputstream) to convert it to the protobuffclass.    if i do it with a specific class it works:         but if i change it to generic type it fails because t doesn't have the method parsefrom  is there any interface i could implement in t so i can call the parsefrom method?         this is the error i get:     error:(68  27) error: cannot find symbol method parsefrom(inputstream)  ,3,generics,12,3,2 1 0,0 80 100,0,1,469,16,2,0,0
1164, if i have a generic class like this:         is there then a way to instantiate the someclass  using a variable of the class type?    i basically want to be able to do this:         or is there a workaround?  ,2,generics,12,2,1 1,78 99,0,1,210,1822,2,0,0
1165," i've been trying to play with generics and polymorphism. i've come across a problem i can't get my head around.    say i have          and then         i also have my own class \""myabstractclass\"". it's here i can't seem to work things out.         i want to be able to do:         then         this does not work for me. it fails to compile at  . this is a bit over my java experience and would greatly appreciated some guidance. i hope the example classes are made clear enough to understand my intention.    compiler tells me:   thanks.    edit: looks like i'll have to spell out what i'm trying to do. i have a list of animals which may or may not have more fields and methods than the superclass  but they all extend the superclass. i also want a class which takes in a list of a single type of animal  and call methods on or over each element in the list. i won't be adding anything to the list so that shouldn't be a problem.  the reason i'm splitting up like this is because between all the animals  there is alot of similarity  but some animals have specialties. the class taking in the list needs to be able to handle these particularities. hence have the worker class extend a superclass and implement extra methods.    edit2: worked it out!          both the field and the constructor need to be  . constructive brainstorming session!    edit3: dima's method is better.  ",4,generics,12,6,3 1 0 0 0 -1,0 0 100 68 0 29,1,1,1384,23,3,0,0
1166, i have three maps:         i frequently want to look up a key into a map and add an item to it's arraylist value. i want to make a method that will take as a parameter a map   (with an arraylist value of a generic type t)  a key to add to  and an item of type t to add to that map.    in theory something like this (i know this is not working java code):         how can i achieve something like this using generics?  ,2,generics,12,2,5 4,100 75,1,1,419,657,3,83,1
1167, it is necessary to use generics with  ? like this:         can i write it without it? because i face a problem when i want to add object to it.    what i try to do is to get info from the frame and then create object and add it to tha arraylist        ,2,generics,12,5,4 2 1 0 0,79 0 100 80 86,1,1,253,3,0,0,0
1168, i was reading this about generics and their restrictions.        cannot create instances of type parameters        you cannot create an instance of a type parameter. for example  the   following code causes a compile-time error:             as a workaround  you can create an object of a type parameter through   reflection:             you can invoke the append method as follows:           i am somewhat confused. i understand why it isn't allowed because that new e() will just turn into new object() because of type erasure  but why doesn't the same thing happen in class.newinstance? i mean it uses the type parameter e  so wouldn't it end up with the same problem? could someone please explain (i know i have to add the try-catch to get it to compile).    thanks in advance!  ,3,generics,12,2,2 0,100 82,1,1,783,91,2,100,1
1169, i have this classparent class         then i have this classchild extending the classparent         instantiating a new instance of classchild class.         clearly  to preserve polyporphism  java compiler will create a bridge method in the   class. my question is  after i compiled the code using   command  i want to see how the compiled code looks like  but i don't know how to do it. i opened the   file using notepad++  but i just saw gibberish. how do i view the compiled code is my question. i am new to programming in general. thank you   ,2,generics,12,2,1 1,100 67,1,1,549,23,0,0,0
1170, i have written a generic class and below is the constructor of the class. i want to do something like this as written in line          because i do not know the generic type on the run time therefore it will throw an exception.         is there any way to solve such problems? the declaration of e is             this is how i am trying to call           update  guys  thanks for the help. i was messing around with generics so the problem was being created. here is all the code which created the problem -           update 2 :  seems  other than passing the class type as mentioned in an answer below  there is no way we can do this.  ,2,generics,12,4,3 2 1 0,0 100 50 0,1,1,638,18,2,0,0
1171, is there a way with java generics to tell the compiler that type t must be of type u?  e.g.         now  i want to ensure that t is a subclass of u.  is there a way to specify this?  ,4,generics,12,2,8 3,82 65,1,1,184,4164,1,66,1
1172, i would like to write a generic method that accepts an array and something else. each of which could be whatever type  but they must be the same. i tried this  but i could still input anything into the method.         i can call this method with   but i only want it to accept    ,2,generics,12,5,3 2 0 0 -2,71 0 0 60 0,1,1,281,165,5,60,1
1173, this code is illegal because bar cannot use the generic t since it belongs to foo  and bar is static. :(         my question is  is there a reasonable workaround to this problem? i really need foo and bar to use the same generic type since bar is a listener class for foo and needs to return the same type. of course i could use two generics (e.g.  ) and always assign the same type to t and p  but that is funky and error prone. is there a cleaner solution?  ,4,generics,12,3,3 1 1,86 0 78,1,1,461,3640,2,73,1
1174, i have a hashmap where key is string and value could be integer or long . ow in a method i am creating this hashmap and passing into other method something like          just wanted to know whether i have used correct generics while creating hashmap object  ,2,generics,12,2,1 1,100 93,1,1,259,145,0,36,0
1175, how do you enforce that a method parameter type both extends a specific class and implements a specific interface?  ,5,generics,12,3,7 0 0,75 0 75,0,0,117,72,1,0,0
1176," the stackoverflow question:  is list&lt;dog&gt; a subclass of list&lt;animal&gt;? why aren&#39;t java&#39;s generics implicitly polymorphic?  has many correct answers that  point out that you can add a  cat to   but not to  . this leads to the  use of constructs like  .  i have found that there are cases where this is just not convenient and therefore i have defined classes to \""down cast\"" the collection. (see below for an example of downcastcollection). my  question is whether you can present some cases where the best approach is  to downcast? if you think it is never the best approach then can you explain why? i realize this is a bit open ended but i think the answers may be very helpful since this situation is common.  i do agree that in most cases we should use the `collection  but i am pointing  out  that sometimes that is just  not the best approach.  have you encountered examples where this is not the best approach  and if so can you present them here?    based on the answer in   http://stackoverflow.com/a/27491199/4350148  i have changed downcastcollection to be modifiable and so now it does not return an error. the question still is valid.    here is the downcast collection class:       ",2,generics,12,4,1 0 0 0,80 100 88 0,1,1,1217,588,4,0,0
1177, this may be a stupid question  but is there a type of collection in java that will hold primitives of varying type? i'm currently creating a method that formats two types of objects  and i'm attempting to store the parameters in arrays as a means of avoiding a method with ten+ parameters  instead using two arrays to hold the values and pass them in instead.    the types will be a combination of strings  ints and booleans.  ,3,generics,12,3,3 2 2,0 75 100,1,0,428,83,1,62,1
1178, i thought it would be nice to use generics to write a quick sort.  i'm just learning generics  and it seems like you can only test whether one generic value is equal to another.  is there a way to see if one is greater then another?  i wrote a simple isbig method as follows       ,2,generics,12,4,4 4 1 0,100 75 0 83,1,1,282,1535,0,78,1
1179, i have the following 2 class :          i have the following code which invokes a test method after adding some objects to a list :         now  my   method is this :         why can't i use the reference type of   or   for iteration.     my list declaration in   mehtod is with   keyword.  ,3,generics,12,3,9 1 1,0 100 75,1,1,292,6995,0,92,1
1180, i have problem with comparing java generic type if it is type of void or not. in other words i'm trying to ensure if my generic type t is void or not.  my sample implementation:         i've tried to compare id via      and      and  . but the androidstudio show me error in every tried case :(    can you help me how to compare it? thanks.  ,4,generics,12,5,2 1 0 0 0,0 0 0 94 80,0,1,343,29,3,17,0
1181," i have the following duple class  and i'm trying to write methods to perform math over both of its \""cells\""  :         the commented-out code gives an error because it can't guarantee that   or   will support  . is there a way to have it do a compile time check on the parameters?    i tried:         but the compiler complains for me to delete  . i saw an example using a user defined interfaces  but for what i need it for  that seems extreme.    basically i'm trying to emulate:         if it were written in haskell  ",2,generics,12,2,1 1,87 86,1,1,523,980,1,76,1
1182," i'm trying to pull off some guava   magic for a class which is parameterized with a generic type parameter  but i am getting a   when trying to instantiate it through the   method.         i am getting this exception:    \""unable to find the class definition for  \""      is the runtime type of the generic   parameter for  . how do i get the class object i want?    clarification:    i need to construct and instance of the class to use with a builder object that will construct a menu option like this below:       ",4,generics,12,2,3 2,100 76,1,1,518,333,0,65,1
1183, i know this question has been asked multiple times before but i'm looking for an answer based on type erasure.    why does the compiler give an error on adding   to  ? i want to understand this by type erasure and byte code of   method in  .   ,4,generics,12,3,7 4 0,75 85 0,1,1,245,98,0,80,1
1184,"  q:  in my implementation of a binary tree below  why does the compiler choke at            producing      ?    both   and   are of type   and should be able to use or be an argument to the compareto() method...right? well  clearly not. but i really don't understand why. generics are still baffling me.           the following is a clip from a more standard implementation of a binary tree. this compiles fine. but i still fail to see why this is a \""better\"" (according to compiler) implementation than mine above.       ",4,generics,11,2,5 1,99 38,0,1,524,433,0,85,1
1185, i currently have a method like this:         i'm trying to figure out if there is a way i can change the generic specification so that it will accept both  s and  s for  .    note that   needs to be able to add entries to  . is this possible?  ,2,generics,11,3,2 0 0,92 0 50,0,1,245,12797,0,69,1
1186," i need to provide a generic interface to be used in separate class hierarchies and would like that interface to support invocation chaining.    i have tried to do this using reflective bounds  but i can't seem to get it to work without having to cast \""this\"" to the desired type. here is my current approach:         the above the following line of code to compile:      my question is: is there any way to avoid type-casting of every return statement? is it also possible to not have to override everything at the most specialized level (as is done with the   method)?  ",2,generics,11,2,0 0,95 100,1,1,573,715,4,91,1
1187," i have a question about using mixed generic types in a container.    i have something like this:         then i have another parameterized class or interface that uses the processor. and i want to ensure that the processor that we set to the element can deal with elements of this type (t)         all of this works fine. my issue comes when i have to put my elements in a container. this container can contain elements of different types (      ... ). when i get the elements out of the container i cannot assign a new calcultor to the element  because using ? makes me lose the typing.         but:         this works with rawtypes but do you think there is a way to manage this cleanly with generics?    i have read the pattern from \""effective java\""  but when i am reading elements from my container i can't predict what the return type will be.    the only fix i have found so far is making element not generic  but by doing so i am losing the type safety.    any idea welcome?    regards    gilles  ",2,generics,11,2,0 0,80 59,1,1,1007,8,1,0,0
1188, i am trying to define a generic class which can work with any data type with   interface defined.       the error message is    i suspect this has to do with my   class declaration  but i cannot figure out what it is.              i have looked at other questions on stack overflow which seem to be helping out with similar problem  but the solution suggested is to have a generic class  i think i already have that.    thanks in advance!  ,2,generics,11,2,1 1,75 86,1,1,441,77,0,47,0
1189, please explain what's the difference between these 2 definitions:           and        ,2,generics,11,2,6 2,75 50,1,1,88,22,1,75,1
1190,"  q1.  in the below code i get the error \""name clash: the method equals(t) of type node has the same erasure as equals(object) of type object but does not override it\""         i tried to read explanations online but still have a simple question. if after type erasure  the equivalent of public boolean equals(t b) is public boolean equals(object b) which is perfectly valid way to override  then why the fuss?     q2.  lets say i add the @override annotation to public boolean equals. the error thrown this time is \""the method equals(t) of type node must override a superclass method\"". again  the same argument above  since after type erasure public boolean equals(t b) is public boolean equals(object b) why does the compiler complain?    one possible explanation i can think of is \""before type erasure the compiler tries to find a method with the signature public boolean equals(t b) in the base class  doesn't find it  and complains\"".     q3.  in the below code we get the error \""cannot perform instanceof check against type parameter t\"".         again  i get the explaination that t would be stripped out and become object and we have no info of t at runtime. lets say hypothetically is the compiler allowed it  wouldnÌ¢åÛåªt this be a valid check i.e. if ( b instanceof object )?    so  is the compiler complaining mainly because this is misleading (as this will always be true!) and wants you to change it? or is there some other reason's too why this isnt a good idea.  ",5,generics,11,2,0 0,100 75,1,1,1480,397,1,57,1
1191, i have method that returns component (object that extends  component  interface) instance by the type (class).    what is the best or the right way to return component? using uncheked generics or returning component as  component  type. or is there a better way then these two i found out? actually i would like to get component by the return type specified in statement (ex.  );       ,2,generics,11,2,5 0,100 86,1,1,387,187,1,75,1
1192, so i have several enums defined like the following. i have a method that uses the enum to find the value.          right now i have 5 enums defined that all get processed by the same getplacement method but i had to create 5 different myclass classes (myclass2  myclass3...) with myenum2  myenum3... hard coded in the for loop to make it happen.    i've tried...         and         but neither works.    i would like to pass an enum to the getplacement method as a parameter thus allowing me to only have one myclass class that could process the 5 different enums.  is this possible?  ,3,generics,11,3,1 0 0,60 0 100,1,1,587,23,0,0,0
1193," i'm trying to convert an avltree implementation into a heap style array and am having some problems with generics:         at the line   i get the following error:        \""cannot create a generic array of myavltree.avlnode\""      i don't see what i'm doing wrong. any help?  ",2,generics,11,2,3 0,100 64,1,1,277,97,5,79,1
1194, suppose i have a list of classes:         if i now take one of these classes  lets say... the second  and would want to know if it represents the string class  i would do the following:         but how can i know if it represents a generic type... say t?         i tried         but nothing works. i would really like to know if this is possible  and if it is  how to achieve it.  thanks for your attention! =)  ,2,generics,11,2,6 2,62 100,1,1,413,60,1,80,1
1195, my interface is:             my implimentation class is:           gives error  method does not override method from its superclass.    i can't able to understand what is the problem.  ,3,generics,11,2,2 0,86 63,0,1,186,25,0,12,0
1196, i'm trying to understand generics  but i block at wildcard bounds and casts. for instance:         negativenumber and positivenumber both extend number. so the question is why there is no warning at compile-time when casting the element from the list into a negativenumber ? is there a way to prevent this type of exception ?  ,3,generics,11,3,0 0 0,0 54 78,1,1,328,23,3,0,0
